family,layer,band,band_label,theta,theta_cum,theta_attn,theta_ffn,delta_pr,abs_delta_pr
Qwen2.5-7B,0,band1_factual,Factual,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,-0.013083689207022076,0.013083689207022076
Qwen2.5-7B,1,band1_factual,Factual,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,0.05140899527533005,0.05140899527533005
Qwen2.5-7B,2,band1_factual,Factual,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,0.017916237117654,0.017916237117654
Qwen2.5-7B,3,band1_factual,Factual,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.01807882390597193,0.01807882390597193
Qwen2.5-7B,4,band1_factual,Factual,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.042570972153270326,0.042570972153270326
Qwen2.5-7B,5,band1_factual,Factual,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.016714922231762408,0.016714922231762408
Qwen2.5-7B,6,band1_factual,Factual,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.05332422131751979,0.05332422131751979
Qwen2.5-7B,7,band1_factual,Factual,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.021664267701181572,0.021664267701181572
Qwen2.5-7B,8,band1_factual,Factual,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,0.00585361323029332,0.00585361323029332
Qwen2.5-7B,9,band1_factual,Factual,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,-0.08006443018946996,0.08006443018946996
Qwen2.5-7B,10,band1_factual,Factual,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,-0.07688541330677445,0.07688541330677445
Qwen2.5-7B,11,band1_factual,Factual,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,-0.05530310484079948,0.05530310484079948
Qwen2.5-7B,12,band1_factual,Factual,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,-0.09365721007869787,0.09365721007869787
Qwen2.5-7B,13,band1_factual,Factual,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,-0.07671563099418854,0.07671563099418854
Qwen2.5-7B,14,band1_factual,Factual,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,-0.0557462425588362,0.0557462425588362
Qwen2.5-7B,15,band1_factual,Factual,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,-0.04611073629223306,0.04611073629223306
Qwen2.5-7B,16,band1_factual,Factual,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,-0.03685301928861229,0.03685301928861229
Qwen2.5-7B,17,band1_factual,Factual,1.3217314311436243,1.4567629543561786,1.1915229558944702,1.49534273147583,-0.03485036818028853,0.03485036818028853
Qwen2.5-7B,18,band1_factual,Factual,1.4888089724949427,1.458449586889798,1.4512253403663635,1.538920481999715,-0.04197654578236154,0.04197654578236154
Qwen2.5-7B,19,band1_factual,Factual,1.2691363266536169,1.448983923877989,1.0767298340797424,1.525678316752116,-0.0030730166098251743,0.0030730166098251743
Qwen2.5-7B,20,band1_factual,Factual,1.315147876739502,1.4426107787761562,1.1450111269950867,1.5419968763987224,-0.015572600657348445,0.015572600657348445
Qwen2.5-7B,21,band1_factual,Factual,1.3356072562081474,1.437746982295792,1.1422832012176514,1.5933726628621419,-0.0018681387418979511,0.0018681387418979511
Qwen2.5-7B,22,band1_factual,Factual,1.4322014876774378,1.4375058738341244,1.1826860308647156,1.7648887634277344,0.052993864263342516,0.052993864263342516
Qwen2.5-7B,23,band1_factual,Factual,1.3451416151864188,1.4336573630571365,1.0849691033363342,1.6920382976531982,0.11370263298859307,0.11370263298859307
Qwen2.5-7B,24,band1_factual,Factual,1.2920170341219221,1.4279917498997279,1.160027801990509,1.4680026769638062,0.1218253929999733,0.1218253929999733
Qwen2.5-7B,25,band1_factual,Factual,1.3790566240038191,1.426109629672962,1.2365407347679138,1.5690778096516926,0.10199233139822006,0.10199233139822006
Qwen2.5-7B,26,band1_factual,Factual,1.2879834004810877,1.4209938434065963,1.1214238107204437,1.51006285349528,0.10831521798734478,0.10831521798734478
Qwen2.5-7B,27,band1_factual,Factual,1.2509797981807165,1.4149219132199577,1.157665491104126,1.375398874282837,1.199130293719656,1.199130293719656
Qwen2.5-7B,0,band2_instruction,Instruction,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,0.0382518555694924,0.0382518555694924
Qwen2.5-7B,1,band2_instruction,Instruction,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,-0.043818806129459986,0.043818806129459986
Qwen2.5-7B,2,band2_instruction,Instruction,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,-0.039319893829059094,0.039319893829059094
Qwen2.5-7B,3,band2_instruction,Instruction,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.09368256805890818,0.09368256805890818
Qwen2.5-7B,4,band2_instruction,Instruction,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.22097485099640402,0.22097485099640402
Qwen2.5-7B,5,band2_instruction,Instruction,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.06784134480722503,0.06784134480722503
Qwen2.5-7B,6,band2_instruction,Instruction,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.2854212771100344,0.2854212771100344
Qwen2.5-7B,7,band2_instruction,Instruction,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.2843454390018145,0.2843454390018145
Qwen2.5-7B,8,band2_instruction,Instruction,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,0.35683505466724164,0.35683505466724164
Qwen2.5-7B,9,band2_instruction,Instruction,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,0.3102627460350833,0.3102627460350833
Qwen2.5-7B,10,band2_instruction,Instruction,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,0.7257918524203264,0.7257918524203264
Qwen2.5-7B,11,band2_instruction,Instruction,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,0.7924804722779264,0.7924804722779264
Qwen2.5-7B,12,band2_instruction,Instruction,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,0.7193843738474541,0.7193843738474541
Qwen2.5-7B,13,band2_instruction,Instruction,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,0.7429789789077299,0.7429789789077299
Qwen2.5-7B,14,band2_instruction,Instruction,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,0.3580040239780562,0.3580040239780562
Qwen2.5-7B,15,band2_instruction,Instruction,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,0.3295163885835466,0.3295163885835466
Qwen2.5-7B,16,band2_instruction,Instruction,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,0.014370294191834887,0.014370294191834887
Qwen2.5-7B,17,band2_instruction,Instruction,1.3217314311436243,1.4567629543561786,1.1915229558944702,1.49534273147583,-0.13624530464467188,0.13624530464467188
Qwen2.5-7B,18,band2_instruction,Instruction,1.4888089724949427,1.458449586889798,1.4512253403663635,1.538920481999715,-0.34089905409149246,0.34089905409149246
Qwen2.5-7B,19,band2_instruction,Instruction,1.2691363266536169,1.448983923877989,1.0767298340797424,1.525678316752116,-0.17502032092819952,0.17502032092819952
Qwen2.5-7B,20,band2_instruction,Instruction,1.315147876739502,1.4426107787761562,1.1450111269950867,1.5419968763987224,-0.14398591670493044,0.14398591670493044
Qwen2.5-7B,21,band2_instruction,Instruction,1.3356072562081474,1.437746982295792,1.1422832012176514,1.5933726628621419,0.07519001163141592,0.07519001163141592
Qwen2.5-7B,22,band2_instruction,Instruction,1.4322014876774378,1.4375058738341244,1.1826860308647156,1.7648887634277344,0.12926565844898708,0.12926565844898708
Qwen2.5-7B,23,band2_instruction,Instruction,1.3451416151864188,1.4336573630571365,1.0849691033363342,1.6920382976531982,0.25348342785884004,0.25348342785884004
Qwen2.5-7B,24,band2_instruction,Instruction,1.2920170341219221,1.4279917498997279,1.160027801990509,1.4680026769638062,0.10578084925814579,0.10578084925814579
Qwen2.5-7B,25,band2_instruction,Instruction,1.3790566240038191,1.426109629672962,1.2365407347679138,1.5690778096516926,0.16103733445701618,0.16103733445701618
Qwen2.5-7B,26,band2_instruction,Instruction,1.2879834004810877,1.4209938434065963,1.1214238107204437,1.51006285349528,0.058411745914078494,0.058411745914078494
Qwen2.5-7B,27,band2_instruction,Instruction,1.2509797981807165,1.4149219132199577,1.157665491104126,1.375398874282837,-0.1308554006414946,0.1308554006414946
Qwen2.5-7B,0,band3_creative,Creative,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,0.1715347939209524,0.1715347939209524
Qwen2.5-7B,1,band3_creative,Creative,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,0.05434372522709019,0.05434372522709019
Qwen2.5-7B,2,band3_creative,Creative,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,0.08052001112657914,0.08052001112657914
Qwen2.5-7B,3,band3_creative,Creative,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.08248349915986797,0.08248349915986797
Qwen2.5-7B,4,band3_creative,Creative,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.2459765380966017,0.2459765380966017
Qwen2.5-7B,5,band3_creative,Creative,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.3652427854084861,0.3652427854084861
Qwen2.5-7B,6,band3_creative,Creative,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.6194279590775853,0.6194279590775853
Qwen2.5-7B,7,band3_creative,Creative,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.9264457046024468,0.9264457046024468
Qwen2.5-7B,8,band3_creative,Creative,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,1.2080111796613506,1.2080111796613506
Qwen2.5-7B,9,band3_creative,Creative,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,1.1057212001624475,1.1057212001624475
Qwen2.5-7B,10,band3_creative,Creative,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,1.2594686852113162,1.2594686852113162
Qwen2.5-7B,11,band3_creative,Creative,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,1.1429356416114027,1.1429356416114027
Qwen2.5-7B,12,band3_creative,Creative,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,0.7047433025507583,0.7047433025507583
Qwen2.5-7B,13,band3_creative,Creative,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,0.6627529623388027,0.6627529623388027
Qwen2.5-7B,14,band3_creative,Creative,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,0.9796076885483478,0.9796076885483478
Qwen2.5-7B,15,band3_creative,Creative,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,0.8834938704473627,0.8834938704473627
Qwen2.5-7B,16,band3_creative,Creative,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,0.8679960711378012,0.8679960711378012
Qwen2.5-7B,17,band3_creative,Creative,1.3217314311436243,1.4567629543561786,1.1915229558944702,1.49534273147583,0.995649102987576,0.995649102987576
